Time,Data
5.716017019,574.0982767
5.729716585,680.5390566
5.73462114,715.6425629
5.739525695,749.0249603
5.748012469,802.490091
5.756989472,852.7495249
5.765966474,896.1415566
5.777241108,940.3791482
5.783778461,960.5899479
5.790315813,976.6969382
5.801902433,994.9601665
5.807949937,999.2015167
5.81399744,999.7896709
5.825344324,991.0382114
5.8314768,980.9887361
5.837609277,967.2511863
5.849261718,931.1825076
5.855224097,907.8046457
5.861186477,881.2004971
5.872288505,823.3991691
5.878722544,785.2098719
5.885156583,743.7711742
5.89824763,650.1517309
5.903609909,608.4939244
5.908972187,565.0868717
5.918357426,485.282433
5.926978823,408.1915619
5.935600219,328.0685441
5.946167307,226.6018483
5.953710485,152.5575218
5.961253663,77.64556156
5.973300891,-42.73546869
5.982223574,-131.5925433
5.991146258,-219.4026483
5.9991486,-296.6908266
6.007092329,-371.5359763
6.016600839,-458.0034807
6.02648086,-543.455577
6.033356865,-599.8456893
6.04023287,-653.4008818
6.052838773,-743.3918627
6.058576929,-780.52729
6.064315086,-815.0934238
6.074809984,-871.2971988
6.081823965,-903.5481623
6.088837946,-931.3558584
6.099876264,-965.7976649
6.106472744,-980.7892275
6.113069224,-991.5145753
6.126545041,-999.9903479
6.131484455,-998.5537848
6.136423869,-994.681464
6.144637198,-982.8782161
6.155794648,-956.2510138
6.165001331,-925.3052581
6.172564304,-894.0070046
6.179359751,-861.5198438
6.189046047,-808.3786564
6.198732343,-747.6588391
6.206900463,-690.9832987
6.215618911,-625.4155359
6.224693425,-552.131701
6.232530647,-485.1604058
6.241553791,-404.3931058
6.250380838,-322.1926103
6.258272111,-246.5628145
6.266163384,-169.3984146
6.276984068,-61.97265558
6.284320162,11.3483014
6.291656255,84.60821116
6.306059326,226.7507059
6.315004017,312.8451748
6.321355175,372.4974395
6.327706334,430.6476584
6.340562127,542.8006569
6.346543607,592.0361316
6.352525087,639.1540445
6.364073437,723.5153753
6.370554945,766.7072331
6.377036453,806.6792849
6.39070058,879.6627966
6.395716985,902.4041354
6.40073339,922.8751118
6.409202769,952.1437294
6.418194126,975.7426689
6.427185484,991.4585783
6.437574757,999.6381676
6.444981994,998.8876764
6.452389231,992.6590779
6.463430834,973.286855
6.469968122,956.2094362
6.476505411,935.0470024
6.489839897,879.6123913
6.494893879,854.4581379
6.49994786,827.1218298
6.508444596,776.4417986
6.517567674,715.7999475
6.526690751,649.2045857
6.537731093,561.4481699
6.545154271,498.5307127
6.552577448,432.8674348
6.562430786,342.0878128
6.571563984,254.9595669
6.580697181,165.706046
6.590752385,65.87414431
6.599692444,-23.47656167
6.606551785,-91.94209768
6.613411127,-159.9752106
6.624347031,-266.7551321
6.635282936,-370.3480001
6.643100908,-441.763428
6.65091888,-510.4801423
6.661580708,-599.0878051
6.670948309,-671.3563413
6.679087435,-729.3891657
6.685973401,-774.7301987
6.694929874,-828.180269
6.703886347,-874.9912488
6.713458772,-917.2585542
6.72559839,-958.7405077
6.730968191,-972.6166642
6.736337991,-983.6889781
6.745368445,-995.9024619
6.753616545,-999.9673844
6.761864644,-997.2332704
6.773983445,-980.9327106
6.779710636,-968.1998063
6.785437828,-952.2920049
6.795773877,-915.7213953
6.802721077,-885.6201236
6.809668277,-851.24625
6.821066312,-786.0391082
6.827451289,-744.9937583
6.833836267,-700.912254
6.846664011,-603.9105203
6.852215011,-558.7586815
6.857766011,-511.8855481
6.867736857,-423.8300678
6.875857054,-348.9663089
6.88397725,-271.8028143
6.897747675,-137.1281833
6.903171488,-83.22711986
6.9085953,-29.08128109
6.918547982,70.38320258
6.930025995,184.1643185
6.937480241,256.8525044
6.944934487,328.11413
6.95710505,440.3712378
6.964068244,501.7702236
6.971031438,560.7373054
6.983102465,656.3618218
6.989269766,701.6134472
6.995437068,744.1972889
7.007788298,820.8196878
7.01357519,852.4812363
7.019362081,881.2887824
7.03000741,926.5125124
7.036802434,949.9219278
7.043597458,968.9470177
7.054931914,990.6962132
7.061225037,997.2938941
7.06751816,999.9432562
7.079654322,993.8780686
7.085291045,986.0752847
7.090927768,975.1403087
7.100978184,947.9863895
7.108149218,922.7433638
7.115320252,892.7572812
7.126461065,837.1328338
7.133008501,799.5502583
7.139555937,758.5413218
7.153180286,663.006821
7.158250319,624.2161824
7.163320351,583.8213254
7.171947157,511.6975651
7.183785869,406.639186
7.193294456,318.0637439
7.199300143,260.5864641
7.205305829,202.1695765
7.216758749,88.92591829
7.223891168,17.71842276
7.231023587,-53.57917066
7.244287729,-185.1713854
7.257551872,-313.5105154
7.262428109,-359.4235185
7.267304346,-404.4820647
7.275913109,-481.6180452
7.288254923,-585.8416519
7.294349953,-634.1189079
7.300444983,-680.04118
7.312383897,-762.5255637
7.318523092,-800.7821182
7.324662286,-836.0214959
7.336648469,-895.6336036
7.342545944,-920.2928665
7.348443419,-941.7522592
7.359395182,-972.8681716
7.365874184,-985.8063022
7.372353186,-994.6077153
7.385340118,-999.6626993
7.390520895,-996.9765367
7.395701672,-991.6150424
7.404495889,-976.4331676
7.412962486,-954.6847773
7.421429082,-926.0969828
7.43300947,-876.3006503
7.439030607,-845.722469
7.445051745,-812.0791237
7.456606104,-739.3891643
7.462797649,-696.3126795
7.468989195,-650.5677161
7.481131872,-553.7865731
7.48716558,-502.5691182
7.493199288,-449.5225837
7.504889986,-342.2625499
7.51163491,-278.1567451
7.518379834,-212.7859738
7.533262019,-65.55644945
7.538733999,-10.88347817
7.54420598,43.82207291
7.554439022,145.6466214
7.56946699,292.1232887
7.574680913,341.5686697
7.579894836,390.0857068
7.588954585,471.792062
7.598774932,555.9667881
7.608595279,634.7841216
7.616613459,694.6339363
7.624631639,750.0202572
7.634772842,813.1273157
7.644552789,866.0787228
7.652363604,902.445313
7.660174419,933.3089883
7.671232413,967.2341259
7.680332739,986.3043533
7.688106997,996.1348877
7.694998076,999.8187589
7.703508394,997.8185722
7.712018713,988.5959931
7.721707277,969.3923408
7.730971055,942.5241555
7.740234833,907.5732381
7.750352115,860.5228624
7.758951251,813.5921989
7.767550387,760.6491228
7.776282368,701.1382806
7.787282582,618.6242862
7.793001849,572.7017554
7.798721117,524.9064265
7.809712624,428.371794
7.816791098,363.391194
7.823869572,296.5905901
7.841254776,126.9252895
7.845286401,86.84280322
7.849318025,46.61918175
7.856197209,-22.15393684
7.865275656,-112.7002716
7.875740125,-215.8721093
7.886204594,-316.6821934
7.893045889,-380.7826415
7.899887185,-443.1015954
7.91353519,-560.9522014
7.919277177,-607.5365302
7.925019164,-652.1183364
7.93531466,-726.5793597
7.942863605,-776.3283148
7.950412549,-821.6553416
7.960332696,-874.0663479
7.968211476,-909.5909038
7.976090256,-939.4720783
7.99148513,-980.8998569
7.995556893,-988.0047782
7.999628657,-993.471887
8.006156737,-998.7975205
8.014803604,-999.2998272
8.023947767,-991.7083895
8.03309193,-975.8304878
8.043052277,-949.2636942
8.05156939,-919.0703868
8.060086503,-882.2140599
8.068965334,-836.9879962
8.081344731,-763.0129924
8.086590292,-728.0726047
8.091835854,-691.1293179
8.100904803,-622.8348291
8.109566947,-552.8157783
8.118229092,-478.651392
8.129247394,-379.2032213
8.136282297,-313.2240517
8.1433172,-245.6953799
8.155607462,-125.0064916
8.162384546,-57.53174573
8.169161631,10.20713582
8.184615234,163.9991575
8.200692134,319.7942684
8.204290574,353.6746363
8.207889014,387.0970885
8.213605057,439.1403271
8.220960813,503.9787223
8.232836646,602.7614929
8.239149303,651.8974968
8.24546196,698.4365751
8.258534076,785.7648763
8.26396773,818.1971783
8.269401383,848.214381
8.279026543,895.1896034
8.286801956,927.1039205
8.294577369,953.416065
8.305700531,981.0088937
8.312182456,991.5124625
8.318664382,997.8516144
8.331597618,997.9673278
8.336798314,993.3052318
8.34199901,985.957125
8.350855319,967.3224226
8.359253291,942.6453693
8.367651262,911.3241285
8.379494246,856.2982086
8.385368448,824.4995155
8.39124265,789.8566016
8.402302,717.3433048
8.408873814,670.0406222
8.415445628,619.8451601
8.429583458,503.0870399
8.434574313,459.3457592
8.439565168,414.4605483
8.448051668,335.8287743
8.459784927,223.254893
8.470057043,122.1255834
8.475950509,63.45390019
8.481843974,4.561886716
8.493046296,-107.2546061
8.503159438,-207.0833427
8.51327258,-304.7959257
8.520444102,-372.2567824
8.527615625,-437.8039155
8.541573455,-558.6298267
8.546416781,-598.1304063
8.551260106,-636.228178
8.560325539,-703.4597863
8.569026867,-762.5637916
8.577728196,-815.8978308
8.593028036,-894.4853183
8.596997254,-911.5224017
8.600966472,-927.1235982
8.607712583,-950.2769911
8.616611877,-974.1928607
8.627596427,-993.0656379
8.636782253,-999.662657
8.645381469,-998.1995372
8.652389869,-991.548833
8.662170278,-974.1419153
8.671205659,-949.7817603
8.679936123,-918.8803169
8.688150419,-883.4100527
8.695885226,-844.5595314
8.703620034,-800.6587611
8.718631192,-702.0573007
8.723018423,-670.1494081
8.727405654,-636.9518325
8.734504483,-580.668427
8.744095819,-500.032334
8.755569558,-397.5990768
8.765306619,-306.513547
8.772066251,-241.5198762
8.778825883,-175.423058
8.78987606,-65.78615939
8.802485572,60.22494939
8.808287856,118.0086331
8.814090141,175.3951344
8.824597152,277.6789696
8.833962204,366.2983429
8.843327257,451.7074731
8.854886941,551.5948864
8.860812786,600.0259582
8.866738631,646.3506172
8.877348918,723.5247521
8.884573242,771.4635305
8.891797565,815.3777259
8.901798912,869.1073891
8.909621274,905.1015257
8.917443635,935.5602295
8.92942175,971.0584513
8.935171377,983.1787772
8.940921003,992.0497857
8.951306814,999.7508635
8.958166225,998.9296595
8.965025636,993.4101817
8.976262237,974.2937643
8.982603424,958.0596339
8.988944612,937.9743734
9.001299938,888.0966152
9.006864871,861.1554249
9.012429804,831.5480551
9.022302567,772.7492395
9.029843515,722.7352169
9.037384463,668.613243
9.048618313,581.0382745
9.055385886,524.6705708
9.062153459,465.9007907
9.078114403,319.3494673
9.082519781,277.3061321
9.08692516,234.7247058
9.094237441,163.0808846
9.104138401,64.75760204
9.1166002,-59.77937994
9.12401153,-133.5283318
9.131422861,-206.5441774
9.140737598,-296.6559184
9.149241258,-376.6947668
9.157744919,-454.0112921
9.168507784,-547.0958699
9.176043777,-608.5649372
9.183579771,-666.5795269
9.194623522,-744.6753359
9.201188242,-786.8545456
